d,N,reps,hubble,tau_quantile,n_causal_pairs,mean_tau,median_tau,flat_prefactor_fit,flat_rmse,flat_r2,curvature_intercept,curvature_r_hat
2,192,3,0.0,0.8,27680,0.4693884303692979,0.4613441022610567,0.3465080624663587,0.03215891049100801,0.6669422740489848,0.3275690490989621,-3.8347094862235904
2,192,3,0.25,0.8,25118,0.413554279474534,0.401808376454998,0.40512474946037086,0.03216191444284298,0.6190762966386117,0.36748470403327993,-8.112626001352295
2,192,3,0.5,0.8,23207,0.371781125267572,0.36277420625602685,0.4542386103591608,0.02887396689449742,0.6200654187904968,0.45646155313093056,1.3825610449572716
2,192,3,1.0,0.8,17872,0.2903001348292127,0.2834294943825585,0.5524032507970889,0.026115155255335594,0.5129420760483953,0.6665832861881246,49.036051093667496
2,192,3,2.0,0.8,9851,0.1890860982851536,0.18418962047803397,0.644962803106504,0.016811739336564862,0.357491081529169,1.2874228229642783,552.671910581104
4,192,3,0.0,0.8,10600,0.6238051123944902,0.6380021581498101,0.035068862558247774,0.0072189001506568,0.23462470841107674,0.03037649201978422,-1.5537660542846696
4,192,3,0.25,0.8,7527,0.5554648100950828,0.5704303320488799,0.042549911773581826,0.006165944531717305,0.2082455626943236,0.03983506287200714,-0.7671829466949943
4,192,3,0.5,0.8,5059,0.4855333400106861,0.4986824399394243,0.03986101094858049,0.004108637021355278,0.1478007692803982,0.0372134377813815,-2.709618162408968
4,192,3,1.0,0.8,2025,0.38520878582046875,0.3897615365295844,0.02707469244420835,0.0018194067019459393,0.04391212405032574,0.05703411847086552,18.938218218861333
4,192,3,2.0,0.8,87,0.15904661908478868,0.16249728572269492,0.0,0.0,nan,0.0,-0.0
